# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.075225044904473,4.76099642718069,0.5404558045612897,0,3.0,1.6559897006456816,0.0,0.0,0.0
 0.08893102299110509,2.0870876074158846,4.761108326887368,0.5404558045612897,0.2667930689733153,3.0000000000000004,1.6559897006456816,0.0,30.80840413955709,0.0
 0.12505218686429131,2.0986767648697837,4.761442829219092,1.6532912191575804,0.375156560592874,3.000000000000001,1.759560878013378,0.0,42.42698438334798,0.0
 0.15229061306391195,2.109994722145666,4.7619981389934045,2.8089355021558617,0.4568718391917359,3.0,1.8690975256705957,0.0,53.15986754862699,0.0
 0.17486129285308816,2.1210436841230274,4.7627724610278435,4.008789850230941,0.5245838785592645,2.9999999999999973,1.9846894620851423,0.0,63.710748872705125,0.0
 0.19440914696917036,2.1318258556813645,4.763764000139951,5.254198274820929,0.583227440907511,2.9999999999999956,2.1063634018979527,0.0,74.37139613184084,0.0
 0.2117844618725826,2.1423434417001737,4.764970961147265,6.546424702418079,0.6353533856177477,2.9999999999999982,2.2340682791118573,0.0,85.29675010948827,0.0
 0.22749669258783445,2.1525986470589498,4.766391548867326,7.886626919399543,0.6824900777635032,3.0,2.3676591932710584,0.0,96.5779715386851,0.0
 0.24188092920878482,2.16259367663719,4.768023968117675,9.275827314383399,0.7256427876263544,3.0000000000000018,2.5068802948951383,0.0,108.26906168897038,0.0
 0.25517238246382484,2.17233073531439,4.769866423715851,10.714880486789394,0.7655171473914746,3.0000000000000107,2.6513471037037646,0.0,120.39805399587408,0.0
 0.2675443220647866,2.1818120279700457,4.771917120479394,12.204437938899684,0.80263296619436,3.0000000000000044,2.8005289643268836,0.0,132.97191914050893,0.0
 0.27912926665740145,2.1910397594836533,4.774174263225843,13.744910254516137,0.8373877999722044,2.9999999999999902,2.953732576295925,0.0,145.97857407141942,0.0
 0.29003166890197307,2.2000161347347094,4.77663605677274,15.336427388131744,0.8700950067059192,3.0,3.110087775894022,0.0,159.3874873422613,0.0
 0.300335931676515,2.208743358602709,4.779300705937624,16.978797940680384,0.901007795029545,2.9999999999999947,3.268536971087906,0.0,173.1496493927084,0.0
 0.31011169869013006,2.2172236359671484,4.782166415538034,18.67146857163263,0.93033509607039,2.9999999999999885,3.427829806546929,0.0,182.86896890917666,0.0
 0.3196377348251618,2.2254591717075245,4.785231390391512,20.41348497743744,0.914584239056267,-1.653453418699486,3.586524722238876,0.0,187.62377041237255,0.0
 0.3291779500644476,2.233452170703333,4.788493835315595,22.203456131177827,0.8952632771419601,-2.02521236992062,3.742999022580291,0.0,191.72183509084476,0.0
 0.3387546765129125,2.2412048378340694,4.791951955127826,24.039523700040547,0.8775679614021104,-1.8477415884303736,3.8954688492874436,0.0,195.64112236559066,0.0
 0.34836316260160954,2.2487193779792305,4.795603954645743,25.919338702667396,0.8615121313779969,-1.6710051797858996,4.042020018169733,0.0,199.34507117509017,0.0
 0.3579982581134308,2.255997996018312,4.7994480386868865,27.840047503250194,0.8471078786597753,-1.4949776782751205,4.18065002306554,0.0,202.7968108170932,0.0
 0.36765443376367873,2.2630428968308105,4.803482412068797,29.798289129810147,0.8343652769739827,-1.3196323417610423,4.309320649303789,0.0,205.95999633442443,0.0
 0.3773258094273419,2.269856285296221,4.807705279609013,31.790205626047054,0.8232921217355298,-1.1449410739008317,4.426019628228015,0.0,208.79972858087734,0.0
 0.387006191075706,2.2764403662940405,4.812114846125075,33.81146668678479,0.813893687525998,-0.970874346789834,4.528828703425984,0.0,211.28352237999104,0.0
 0.39668911610795576,2.2827973447037646,4.816709316434523,35.8573091945399,0.8061725122419555,-0.7974011219054655,4.615994498370582,0.0,213.38227722474747,0.0
 0.40636790635774667,2.28892942540489,4.8214868953549,37.922591498820964,0.8001282164492578,-0.6244887673672127,4.685997824626642,0.0,215.07119881199483,0.0
 0.41603572765009617,2.2948388132769115,4.82644578770374,40.0018614140667,0.7957573656263058,-0.452102980679916,4.73761669351024,0.0,216.33061766100204,0.0
 0.42568565441246176,2.300527713199326,4.8315841982985885,42.08943603095268,0.7930533818879898,-0.2802076953435016,4.76997839308007,0.0,217.14665364023057,0.0
 0.4353107375400137,2.3059983300516302,4.836900331956981,44.179490623109636,0.7920065096827882,-0.10876500403460644,4.782596617738793,0.0,217.5116831619394,0.0
 0.44490407350696676,2.311252868713319,4.8423923934964614,46.266153276419566,0.7926038382627691,0.062264949548168295,4.775390734968927,0.0,217.4245778443825,0.0
 0.4544588726253972,2.31629353406389,4.848058587734566,48.343601441132186,0.794829380829048,0.2329240561411631,4.748685742672321,0.0,216.89069940264787,0.0
 0.4639685243896058,2.321122530982837,4.853897119488837,50.40615646334701,0.79866420846276,0.4032563682452732,4.7031931012143,0.0,215.9216525208598,0.0
 0.4734266580049751,2.325742064349658,4.859906193576814,52.44837230334064,0.8040866340937237,0.5733082076734879,4.639974229281955,0.0,214.53481477994708,0.0
 0.4828271964706216,2.3301543390438484,4.866084014816037,54.46511508189989,0.8110724403984262,0.7431283144291682,4.560389797346631,0.0,212.75267716935633,0.0
 0.4921644029383384,2.3343615599449037,4.872428788024044,56.45163075518966,0.8195951435664535,0.9127679887442088,4.466038904659995,0.0,210.6020399439196,0.0
 0.5014329184756244,2.338365931932321,4.878938718018379,58.403599034594016,0.8296262843008868,1.0822812665177475,4.358692676690859,0.0,208.1131146753981,0.0
